variablename,short description,years,longer description,sources 
kdhind,Dental hygienists initiate treatment without dentist authorization,2000–2016,"May dental hygienists initiate treatment without dentist authorization? (0 = no,
0.5 = collaborative agreement required or significant locational restrictions, 1
= yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
knce,Nursing consultation exception,2010–2010,"Nursing consultation exception: state explicitly permits nurses to practice in- state if licensed elsewhere? (0 = no, 0.5
= with time limits, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
knlc,Member of nurse licensure compact,2000–2016,"Member of Nurse Licensure Compact, permitting multistate practice? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
knpind,Nurse practitioners allowed to practice independently from MDs,2000–2016,"Are nurse practitioners allowed to practice independently from MDs? (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
knpindex,Nurse practitioner independence index,2000–2016,"Nurse practitioner independence index (2 = full authority; otherwise = knpind
* knps)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
knps,Nurse practitioners prescribe controlled substances,2000–2016,"May nurse practitioners prescribe controlled substances? (0 = no; 0.25 = with physician oversight may dispense or advise but may not write; 0.45 = only schedules 4 & 5 with physician oversight; 0.5 = with physician oversight only; 0.9 = only schedules 4 & 5 independently, others with physician oversight; 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kpacs,Physician assistants prescribe controlled substances,2000–2016,"May physician assistants prescribe controlled substances? (0 = no, 0.5 = limited, 1 = yes, all schedules)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ksunrise,Independent commission reviews new occupational licensing legislative proposals,1984–2014,"Independent commission reviews new occupational licensing legislative proposals? (0 = no, 0.5 = limited, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ksunset,State licensing agencies automatically abolished,1984–2014,"State licensing agencies automatically abolished unless legislatively reauthorized following independent sunset review? (0 = no, 0.5 = only for specified programs, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
kttack,Thumbtack grade for licensing requirements,2012–2015,"Thumbtack grade for licensing requirements (1 = A+, 2 = A, 3 = A-, 4
= B+, etc., 14 = F)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
nmoverlic,Household goods moving companies must obtain certificate of public convenience and necessity,2000–2016,"Household goods moving companies must obtain certificate of public convenience and necessity? (0 = no, 1
= yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
licenses_accountants,Accountant licensing,1936–1951,"State license required for accountants? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
licenses_architects,Architect licensing,1936–1951,"State license required for architects? (0
= no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
licenses_beauticians,Beautician licensing,1936–1951,"State license required for beauticians? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
licenses_chiropractors,Chiropractor licensing,1936–1951,"State license required for chiropractors? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
licenses_dentists,Dentist licensing,1936–1951,"State license required for dentists? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
licenses_engineers,Engineer licensing,1936–1951,"State license required for engineers? (0
= no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
licenses_nurses,Nurse licensing,1936–1951,"State license required for nurses? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
licenses_pharmacists,Pharmacist licensing,1936–1951,"State license required for pharmacists? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
licenses_real_estate,Real estate licensing,1936–1951,"Real estate licensing (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
adcom,Advertising commissions,1925–1939,"Did state adopt advertising commissions? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
ccreceipt,Restrictions on displaying credit card numbers on sales receipts,1999–2008,"Did state adopt restrictions on displaying credit card numbers on sales receipts? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
citzon,Zoning in cities (enabling legislation),1913–1957,"Did state adopt legislation enabling zoning in cities? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
cogrowman,Planning laws requiring loc/reg planners to coordinate growth management plan developments,1961–1998,"Did state adopt planning laws requiring local/regional planners to coordinate growth management plan developments? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
credfreez,Limits credit agencies from issuing a credit report without consumer consent,2001–2006,"Did state adopt law limiting credit agencies from issuing a credit report without consumer consent? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
econdev,Strategic planning for economic development,1981–1992,"Did state adopt strategic planning for economic development? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
enterzone,State enterprise zones,1981–1992,"Did state adopt state enterprise zones? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
foia,Open Records / Freedom of Information Acts,1900–2003,0 = policy not adopted 1 = policy adopted,"Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
humrel,Human relations commission,1945–1993,"Did state adopt a human relations commission? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
idas,Individual development accounts,1993–2001,"Did state adopt individual development accounts? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
lemon,Lemon laws,1982–1984,"Did state adopt lemon laws? (0 = no, 1
= yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
livingwill,Living wills,1976–1986,"Did state adopt living wills? (0 = no, 1
= yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
pestcomp,Interstate pest control compact,1968–2009,"Did state join the interstate pest control compact? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
pldvpag,Planning/develo pment agency,1935–1978,"Did state adopt a planning/development agency? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
pubhouen,Public housing (enabling legislation),1933–1950,"Did state adopt legislation enabling public housing? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
retainag,Retainers agreement,1957–1965,"Did state adopt a retainers agreement? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
revenue,Strategic planning for revenue,1981–1991,"Did state adopt strategic planning for revenue? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
urbrenen,Urban renewal (enabling legislation),1941–1952,"Did state adopt legislation enabling urban renewal? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
article_1_of_the_uniform_busines,Harmonizes the language of all of the uniform unincorporated entity acts,2015,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
assignment_of_rents_act,"Establishes a comprehensive statutory model for the creation, perfection, and enforcement of security interests in rents",2007–2013,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
business_organizations_code,Creates statutory structure for organizing business and nonprofit entities,2015,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
"commercial_real
_estate_receivers",Provides a standard set of rules for courts to apply for real estate receivership,2017,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
